player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
8806,Cesc Fàbregas,AS Monaco,2021-22,MF,35,36,0,0,2022-05-21,2022-05-30,2.5
16136,Dante,OGC Nice,2021-22,DF,38,2873,0,1,2022-05-21,2022-05-30,0.8
18900,Hatem Ben Arfa,LOSC Lille,2021-22,MF,35,315,0,1,2022-05-21,2022-05-30,1.5
18909,Jimmy Briand,FC Girondins Bordeaux,2021-22,FW,36,212,2,1,2022-05-21,2022-05-30,0.6
18934,Thomas Mangani,Angers SCO,2021-22,MF,35,2195,7,2,2022-05-21,2022-05-30,0.6
20463,Corentin Jean,RC Lens,2021-22,FW,26,240,1,0,2022-05-21,2022-05-30,1.2
22628,Benoît Costil,FC Girondins Bordeaux,2021-22,GK,34,2250,0,0,2022-05-21,2022-05-30,1.5
23951,Steve Mandanda,Olympique Marseille,2021-22,GK,37,810,0,0,2022-05-21,2022-05-30,1.5
23960,Jérémy Morel,FC Lorient,2021-22,DF,38,602,0,0,2022-05-21,2022-05-30,0.3
23974,Romain Salin,Stade Rennais FC,2021-22,GK,37,90,0,0,2022-05-21,2022-05-30,0.4
25557,Sergio Ramos,Paris Saint-Germain,2021-22,DF,36,799,2,0,2022-05-21,2022-05-30,6.0
26485,Jérôme Boateng,Olympique Lyon,2021-22,DF,33,1626,0,1,2022-05-21,2022-05-30,3.5
27389,Kévin Gameiro,RC Strasbourg Alsace,2021-22,FW,35,2396,11,4,2022-05-21,2022-05-30,2.0
27490,Jean-Louis Leca,RC Lens,2021-22,GK,36,2314,0,0,2022-05-21,2022-05-30,0.5
28003,Lionel Messi,Paris Saint-Germain,2021-22,FW,34,2152,6,15,2022-05-21,2022-05-30,50.0
33829,José Fonte,LOSC Lille,2021-22,DF,38,3420,0,2,2022-05-21,2022-05-30,0.8
33925,Jessy Moulin,ESTAC Troyes,2021-22,GK,36,630,0,0,2022-05-21,2022-05-30,0.25
34987,Burak Yilmaz,LOSC Lille,2021-22,FW,36,2219,4,3,2022-05-21,2022-05-30,1.5
37647,Dimitri Payet,Olympique Marseille,2021-22,MF,35,2596,12,10,2022-05-21,2022-05-30,5.0
43256,Paul Baysse,FC Girondins Bordeaux,2021-22,DF,34,9,0,0,2022-05-21,2022-05-30,0.8
44686,Yannick Cahuzac,RC Lens,2021-22,MF,37,611,0,0,2022-05-21,2022-05-30,0.3
45320,Ángel Di María,Paris Saint-Germain,2021-22,FW,34,1654,5,8,2022-05-21,2022-05-30,12.0
46791,Bakary Sako,AS Saint-Étienne,2021-22,FW,34,152,0,0,2022-05-21,2022-05-30,0.4
47713,Mamadou Sakho,Montpellier HSC,2021-22,DF,32,2578,0,0,2022-05-21,2022-05-30,4.5
49499,Georginio Wijnaldum,Paris Saint-Germain,2021-22,MF,31,1651,1,3,2022-05-21,2022-05-30,18.0
51118,Adil Rami,ESTAC Troyes,2021-22,DF,36,1173,3,0,2022-05-21,2022-05-30,0.4
52920,Marcelo,FC Girondins Bordeaux,2021-22,DF,35,1082,0,0,2022-05-21,2022-05-30,1.0
56794,Fabien Lemoine,FC Lorient,2021-22,MF,35,1119,0,1,2022-05-21,2022-05-30,0.6
56809,Alexandre Oukidja,FC Metz,2021-22,GK,33,1877,0,0,2022-05-21,2022-05-30,1.2
56818,Morgan Schneiderlin,OGC Nice,2021-22,MF,32,637,0,1,2022-05-21,2022-05-30,3.5
57134,Matthieu Dreyer,FC Lorient,2021-22,GK,33,1440,0,0,2022-05-21,2022-05-30,0.3
57216,Ismaël Traoré,Angers SCO,2021-22,DF,35,3215,4,1,2022-05-21,2022-05-30,0.6
57370,Damien Da Silva,Olympique Lyon,2021-22,DF,34,1126,0,0,2022-05-21,2022-05-30,1.0
57404,Jean-Armel Kana-Biyik,FC Metz,2021-22,DF,32,666,0,0,2022-05-21,2022-05-30,0.5
57467,Romain Thomas,Angers SCO,2021-22,DF,33,2566,2,0,2022-05-21,2022-05-30,1.0
60540,Valère Germain,Montpellier HSC,2021-22,FW,32,1974,4,3,2022-05-21,2022-05-30,2.5
60558,Maxime Le Marchand,RC Strasbourg Alsace,2021-22,DF,32,857,1,1,2022-05-21,2022-05-30,1.2
60561,Anthony Lopes,Olympique Lyon,2021-22,GK,31,2984,0,0,2022-05-21,2022-05-30,10.0
60583,Jérémy Pied,LOSC Lille,2021-22,DF,33,12,0,0,2022-05-21,2022-05-30,0.8
61891,Fábio,FC Nantes,2021-22,DF,31,1678,0,2,2022-05-21,2022-05-30,1.8
62351,Abdoulaye Bamba,Angers SCO,2021-22,DF,32,455,0,0,2022-05-21,2022-05-30,0.5
68290,Neymar,Paris Saint-Germain,2021-22,MF,30,1861,13,6,2022-05-21,2022-05-30,75.0
68718,Yoann Touzghar,ESTAC Troyes,2021-22,FW,35,1459,4,0,2022-05-21,2022-05-30,0.6
68863,Mauro Icardi,Paris Saint-Germain,2021-22,FW,29,1019,4,0,2022-05-21,2022-05-30,22.0
72121,Johan Gastien,Clermont Foot 63,2021-22,MF,34,2752,0,1,2022-05-21,2022-05-30,0.8
72857,Pedro Mendes,Montpellier HSC,2021-22,DF,31,15,0,0,2022-05-21,2022-05-30,4.0
74230,Pablo Sarabia,Paris Saint-Germain,2021-22,MF,30,21,1,0,2022-05-21,2022-05-31,25.0
74297,Gaël Kakuta,RC Lens,2021-22,MF,30,1683,3,2,2022-05-21,2022-05-30,7.0
77383,Eiji Kawashima,RC Strasbourg Alsace,2021-22,GK,39,90,0,0,2022-05-21,2022-05-30,0.2
77826,Ryad Boudebouz,AS Saint-Étienne,2021-22,MF,32,2266,3,4,2022-05-21,2022-05-30,2.0
78917,Julien Faussurier,Stade Brestois 29,2021-22,DF,35,480,0,1,2022-05-21,2022-05-30,0.3
79422,Keylor Navas,Paris Saint-Germain,2021-22,GK,35,1858,0,0,2022-05-21,2022-05-30,8.0
82009,Kevin Volland,AS Monaco,2021-22,MF,29,2450,9,11,2022-05-21,2022-05-30,22.0
83132,Vincent Manceau,Angers SCO,2021-22,DF,32,2359,0,0,2022-05-21,2022-05-30,0.8
84085,Timothée Kolodziejczak,AS Saint-Étienne,2021-22,DF,30,2570,2,3,2022-05-21,2022-05-30,2.5
84301,Benjamin André,LOSC Lille,2021-22,MF,31,2764,2,1,2022-05-21,2022-05-30,12.0
85148,Julian Draxler,Paris Saint-Germain,2021-22,FW,28,541,2,1,2022-05-21,2022-05-30,18.0
90681,Eliaquim Mangala,AS Saint-Étienne,2021-22,DF,31,1183,1,0,2022-05-21,2022-05-30,1.8
91473,Florent Ogier,Clermont Foot 63,2021-22,DF,33,2435,1,0,2022-05-21,2022-05-30,0.7
93704,Josuha Guilavogui,FC Girondins Bordeaux,2021-22,MF,31,1332,1,1,2022-05-21,2022-05-30,3.5
93726,Paul Lasne,Stade Brestois 29,2021-22,MF,33,846,0,1,2022-05-21,2022-05-30,0.5
93730,Alexandre Letellier,Paris Saint-Germain,2021-22,GK,31,7,0,0,2022-05-21,2022-05-30,0.4
94005,Sead Kolasinac,Olympique Marseille,2021-22,DF,28,438,0,1,2022-05-21,2022-05-30,3.0
98349,Romain Hamouma,AS Saint-Étienne,2021-22,FW,35,880,2,1,2022-05-21,2022-05-30,1.0
99343,Ander Herrera,Paris Saint-Germain,2021-22,MF,32,1092,3,2,2022-05-21,2022-05-30,10.0
102558,Marco Verratti,Paris Saint-Germain,2021-22,MF,29,1947,2,2,2022-05-21,2022-05-30,50.0
102744,Sébastien Corchia,FC Nantes,2021-22,DF,31,1318,0,3,2022-05-21,2022-05-30,1.8
103565,Wahbi Khazri,AS Saint-Étienne,2021-22,FW,31,2238,10,0,2022-05-21,2022-05-30,4.0
111038,Dennis Appiah,FC Nantes,2021-22,DF,29,2093,0,0,2022-05-21,2022-05-30,2.0
111058,Arnaud Souquet,Montpellier HSC,2021-22,DF,30,2341,1,3,2022-05-21,2022-05-30,2.5
111828,Fransérgio,FC Girondins Bordeaux,2021-22,MF,31,1255,0,1,2022-05-21,2022-05-30,2.5
113707,Rémy Cabella,Montpellier HSC,2021-22,MF,32,313,0,0,2022-05-21,2022-05-30,6.5
114340,Gabriel Silva,AS Saint-Étienne,2021-22,DF,31,714,0,0,2022-05-21,2022-05-30,1.2
118278,Xavier Chavalerin,ESTAC Troyes,2021-22,MF,31,2943,5,2,2022-05-21,2022-05-30,3.5
118284,Jordan Ferri,Montpellier HSC,2021-22,MF,30,2920,0,2,2022-05-21,2022-05-30,5.0
120651,Vincent Le Goff,FC Lorient,2021-22,DF,32,3060,1,1,2022-05-21,2022-05-30,1.0
122116,Nicolas de Préville,FC Metz,2021-22,FW,31,1982,5,2,2022-05-21,2022-05-30,2.5
122797,Andy Delort,OGC Nice,2021-22,FW,30,2717,18,3,2022-05-21,2022-05-30,13.0
124884,Marco Bizot,Stade Brestois 29,2021-22,GK,31,3420,0,1,2022-05-21,2022-05-30,4.5
125783,Sanjin Prcic,RC Strasbourg Alsace,2021-22,MF,28,2206,1,0,2022-05-21,2022-05-30,4.0
126557,Jonathan Gradit,RC Lens,2021-22,DF,29,3073,0,0,2022-05-21,2022-05-30,4.5
126665,Idrissa Gueye,Paris Saint-Germain,2021-22,MF,32,1643,3,1,2022-05-21,2022-05-30,12.0
126683,Tristan Dingomé,ESTAC Troyes,2021-22,MF,31,1074,2,5,2022-05-21,2022-05-30,1.5
126699,Vincent Pajot,FC Metz,2021-22,MF,31,2317,1,0,2022-05-21,2022-05-30,1.0
126719,Juan Bernat,Paris Saint-Germain,2021-22,DF,29,964,0,0,2022-05-21,2022-05-30,12.0
127048,Cédric Bakambu,Olympique Marseille,2021-22,FW,31,355,4,0,2022-05-21,2022-05-30,8.0
127142,Jonas Martin,Stade Rennais FC,2021-22,MF,32,2112,1,1,2022-05-21,2022-05-30,2.5
127156,Téji Savanier,Montpellier HSC,2021-22,MF,30,2422,8,7,2022-05-21,2022-05-30,12.0
127182,Thomas Monconduit,FC Lorient,2021-22,MF,31,2254,3,2,2022-05-21,2022-05-30,1.5
127202,Matz Sels,RC Strasbourg Alsace,2021-22,GK,30,3330,0,0,2022-05-21,2022-05-30,8.0
127610,Mexer,FC Girondins Bordeaux,2021-22,DF,33,1226,1,0,2022-05-21,2022-05-30,1.0
129473,Rafinha,Paris Saint-Germain,2021-22,MF,29,221,0,0,2022-05-21,2022-06-03,9.0
129990,Hyun-jun Suk,ESTAC Troyes,2021-22,FW,30,144,0,0,2022-05-21,2022-05-30,1.0
131827,Jere Uronen,Stade Brestois 29,2021-22,DF,27,877,0,0,2022-05-21,2022-05-30,2.0
135617,Thiago Mendes,Olympique Lyon,2021-22,MF,30,1862,1,1,2022-05-21,2022-05-30,9.0
138055,Haris Belkebla,Stade Brestois 29,2021-22,MF,28,2312,0,0,2022-05-21,2022-05-30,4.0
139279,Nicolas Pallois,FC Nantes,2021-22,DF,34,2451,1,0,2022-05-21,2022-05-30,1.5
141050,Danilo Pereira,Paris Saint-Germain,2021-22,DF,30,2037,5,0,2022-05-21,2022-05-30,14.0
145115,Valon Berisha,Stade Reims,2021-22,MF,29,453,0,1,2022-05-21,2022-05-30,2.5
146805,Majeed Waris,RC Strasbourg Alsace,2021-22,FW,30,315,2,0,2022-05-21,2022-05-30,1.2
146854,Wissam Ben Yedder,AS Monaco,2021-22,FW,31,2543,25,5,2022-05-21,2022-05-30,25.0
149579,Elbasan Rashani,Clermont Foot 63,2021-22,FW,29,1769,8,3,2022-05-21,2022-05-30,2.5
157501,M'Baye Niang,FC Girondins Bordeaux,2021-22,FW,27,769,3,0,2022-05-21,2022-05-30,4.0
161869,Djibril Sidibé,AS Monaco,2021-22,DF,29,950,0,0,2022-05-21,2022-05-30,8.0
163568,Alfred Gomis,Stade Rennais FC,2021-22,GK,28,2250,0,0,2022-05-21,2022-05-30,8.0
166237,Leandro Paredes,Paris Saint-Germain,2021-22,MF,27,840,1,2,2022-05-21,2022-05-30,17.0
167342,Adrian Grbic,FC Lorient,2021-22,FW,25,510,1,0,2022-05-21,2022-06-08,2.5
170459,Jérôme Phojo,Clermont Foot 63,2021-22,DF,29,5,0,0,2022-05-21,2022-05-30,0.3
170487,Josué Albert,Clermont Foot 63,2021-22,DF,30,20,0,0,2022-05-21,2022-05-30,0.3
170544,Christophe Hérelle,Stade Brestois 29,2021-22,DF,29,1938,0,0,2022-05-21,2022-05-30,4.0
170929,Massadio Haïdara,RC Lens,2021-22,DF,29,1078,1,2,2022-05-21,2022-05-30,2.0
170934,Mario Lemina,OGC Nice,2021-22,MF,28,1975,2,0,2022-05-21,2022-05-30,9.0
170953,Stéphane Bahoken,Angers SCO,2021-22,FW,29,1096,3,1,2022-05-21,2022-05-30,4.0
170961,Thomas Delaine,FC Metz,2021-22,DF,30,2316,1,2,2022-05-21,2022-05-30,2.0
174915,Islam Slimani,Olympique Lyon,2021-22,FW,33,576,1,1,2022-05-21,2022-05-31,1.5
175014,Youcef Belaïli,Stade Brestois 29,2021-22,FW,30,834,3,2,2022-05-21,2022-05-30,2.0
175639,Jonathan Clauss,RC Lens,2021-22,DF,29,3061,5,11,2022-05-21,2022-05-30,15.0
177690,Miguel Trauco,AS Saint-Étienne,2021-22,DF,29,1110,1,0,2022-05-21,2022-05-30,1.8
178313,Jean-Eudes Aholou,RC Strasbourg Alsace,2021-22,MF,28,1000,1,1,2022-05-21,2022-05-30,3.0
181378,Gaëtan Laborde,Stade Rennais FC,2021-22,FW,28,3086,15,8,2022-05-21,2022-05-30,18.0
181767,Marquinhos (181767),Paris Saint-Germain,2021-22,DF,28,2862,5,0,2022-05-21,2022-05-30,70.0
181778,Emerson,Olympique Lyon,2021-22,DF,27,2268,1,2,2022-05-21,2022-05-30,14.0
182875,Jean-Charles Castelletto,FC Nantes,2021-22,DF,27,2512,1,0,2022-05-21,2022-05-30,4.0
182889,Wylan Cyprien,FC Nantes,2021-22,MF,27,1494,2,3,2022-05-21,2022-05-30,4.5
182893,Seko Fofana,RC Lens,2021-22,MF,27,3364,8,1,2022-05-21,2022-05-30,25.0
182916,Wesley Saïd,RC Lens,2021-22,FW,27,647,5,1,2022-05-21,2022-05-30,2.5
183647,Álvaro González,Olympique Marseille,2021-22,DF,32,451,0,0,2022-05-21,2022-05-30,2.5
184575,Denys Bain,Stade Brestois 29,2021-22,DF,28,180,0,0,2022-05-21,2022-05-30,1.0
184922,Ambroise Oyongo,Montpellier HSC,2021-22,DF,30,658,1,0,2022-05-21,2022-05-30,1.8
184935,Kalifa Coulibaly,FC Nantes,2021-22,FW,30,848,5,0,2022-05-21,2022-05-30,1.5
188930,Danijel Petkovic,Angers SCO,2021-22,GK,28,1350,0,0,2022-05-21,2022-05-30,1.0
189744,Paul Nardi,FC Lorient,2021-22,GK,28,1980,0,0,2022-05-21,2022-05-30,2.0
190263,Predrag Rajković,Stade Reims,2021-22,GK,26,3420,0,0,2022-05-21,2022-05-30,9.0
191891,Arkadiusz Milik,Olympique Marseille,2021-22,FW,28,1419,7,2,2022-05-21,2022-05-30,16.0
193256,Gauthier Gallon,ESTAC Troyes,2021-22,GK,29,2790,0,0,2022-05-21,2022-05-30,2.5
195778,Alexander Nübel,AS Monaco,2021-22,GK,25,3420,0,0,2022-05-21,2022-05-30,8.0
198709,Cédric Hountondji,Clermont Foot 63,2021-22,DF,28,2035,1,0,2022-05-21,2022-05-30,3.0
199704,Yunis Abdelhamid,Stade Reims,2021-22,DF,34,2984,2,0,2022-05-21,2022-05-30,1.2
202278,Flavien Tait,Stade Rennais FC,2021-22,MF,29,2131,5,4,2022-05-21,2022-05-30,8.0
202318,Farid Boulaya,FC Metz,2021-22,MF,29,1531,4,2,2022-05-21,2022-05-30,3.5
203504,Pierre-Yves Hamel,Clermont Foot 63,2021-22,FW,28,543,0,0,2022-05-21,2022-05-30,1.2
203746,Ruben Aguilar,AS Monaco,2021-22,DF,29,2138,0,2,2022-05-21,2022-05-30,10.0
203761,Vital Nsimba,Clermont Foot 63,2021-22,DF,28,2791,1,4,2022-05-21,2022-05-30,2.5
204072,Henrique Silva,Olympique Lyon,2021-22,DF,28,1103,0,1,2022-05-21,2022-05-30,1.5
205465,Marc-Aurèle Caillard,FC Metz,2021-22,GK,28,1540,0,0,2022-05-21,2022-05-30,1.2
205503,Ibrahim Amadou,FC Metz,2021-22,MF,29,814,1,0,2022-05-21,2022-05-30,2.0
205587,Opa Nguette,FC Metz,2021-22,FW,27,1043,2,2,2022-05-21,2022-05-30,2.0
206912,Jimmy Cabot,Angers SCO,2021-22,MF,28,2012,0,6,2022-05-21,2022-05-30,5.0
207302,Sergio Rico,Paris Saint-Germain,2021-22,GK,28,22,0,0,2022-05-21,2022-06-03,4.0
211637,Kiki Kouyaté,FC Metz,2021-22,DF,25,2666,1,0,2022-05-21,2022-05-30,5.0
212804,Florian Tardieu,ESTAC Troyes,2021-22,MF,30,2631,4,2,2022-05-21,2022-05-30,3.0
214532,Pierrick Capelle,Angers SCO,2021-22,MF,35,1187,0,2,2022-05-21,2022-05-30,0.5
215114,Thomas Foket,Stade Reims,2021-22,DF,27,2240,1,1,2022-05-21,2022-05-30,5.0
215977,Adrien Thomasson,RC Strasbourg Alsace,2021-22,MF,28,2395,8,4,2022-05-21,2022-05-30,9.0
221151,Jodel Dossou,Clermont Foot 63,2021-22,FW,30,2018,3,1,2022-05-21,2022-05-30,1.8
222859,Florent Mollet,Montpellier HSC,2021-22,MF,30,2649,6,2,2022-05-21,2022-05-30,6.0
222876,Arbër Zeneli,Stade Reims,2021-22,FW,27,409,2,3,2022-05-21,2022-05-30,4.5
226073,Ivo Grbic,LOSC Lille,2021-22,GK,26,1890,0,0,2022-05-21,2022-05-30,3.5
228948,Thilo Kehrer,Paris Saint-Germain,2021-22,DF,25,1506,2,0,2022-05-21,2022-05-30,22.0
228975,Julian Pollersbeck,Olympique Lyon,2021-22,GK,27,434,0,0,2022-05-21,2022-05-30,0.8
229004,Moussa Dembélé,Olympique Lyon,2021-22,FW,25,2210,21,4,2022-05-21,2022-05-30,20.0
229005,Abdou Diallo,Paris Saint-Germain,2021-22,DF,26,877,0,1,2022-05-21,2022-05-30,18.0
229006,Franck Honorat,Stade Brestois 29,2021-22,FW,25,2911,11,6,2022-05-21,2022-05-30,10.0
230140,Stian Gregersen,FC Girondins Bordeaux,2021-22,DF,27,1956,1,1,2022-05-21,2022-05-30,1.5
232271,Sofiane Boufal,Angers SCO,2021-22,MF,28,2344,8,5,2022-05-21,2022-05-30,8.0
234781,Maxwel Cornet,Olympique Lyon,2021-22,FW,25,65,0,0,2022-05-21,2022-06-15,15.0
234802,Renaud Ripart,ESTAC Troyes,2021-22,FW,29,1904,2,3,2022-05-21,2022-05-30,4.0
236045,Denis Bouanga,AS Saint-Étienne,2021-22,FW,27,2448,9,6,2022-05-21,2022-05-30,8.0
236400,Léo Dubois,Olympique Lyon,2021-22,DF,27,1746,0,2,2022-05-21,2022-05-30,10.0
238266,Duje Caleta-Car,Olympique Marseille,2021-22,DF,25,2061,2,1,2022-05-21,2022-05-30,16.0
238626,Laurent Abergel,FC Lorient,2021-22,MF,29,2964,0,2,2022-05-21,2022-05-30,3.0
238639,Steve Mounié,Stade Brestois 29,2021-22,FW,27,2312,9,2,2022-05-21,2022-05-30,7.0
239743,Przemyslaw Frankowski,RC Lens,2021-22,DF,27,2453,6,5,2022-05-21,2022-05-30,8.0
240692,Reinildo Mandava,LOSC Lille,2021-22,DF,28,1530,1,0,2022-05-21,2022-06-03,22.0
241229,Jordan Amavi,OGC Nice,2021-22,DF,28,544,0,0,2022-05-21,2022-05-30,6.0
242273,Pedro Chirivella,FC Nantes,2021-22,MF,24,2646,3,1,2022-05-21,2022-05-30,7.0
243606,Anastasios Donis,Stade Reims,2021-22,FW,25,363,0,0,2022-05-21,2022-05-30,1.0
243737,Roli Pereira de Sa,FC Nantes,2021-22,MF,25,570,0,0,2022-05-21,2022-05-30,0.7
245078,Nemanja Radonjic,Olympique Marseille,2021-22,FW,26,17,0,0,2022-05-21,2022-05-31,4.0
245537,Nabil Bentaleb,Angers SCO,2021-22,MF,27,1523,1,0,2022-05-21,2022-05-30,3.5
247915,Jonas Omlin,Montpellier HSC,2021-22,GK,28,2589,0,0,2022-05-21,2022-05-30,8.0
249730,Guillermo Maripán,AS Monaco,2021-22,DF,28,1829,0,0,2022-05-21,2022-05-30,15.0
250013,Angelo Fulgini,Angers SCO,2021-22,MF,25,2950,5,4,2022-05-21,2022-05-30,12.0
250779,Brendan Chardonnet,Stade Brestois 29,2021-22,DF,27,2687,3,0,2022-05-21,2022-05-30,5.0
250844,Alexander Djiku,RC Strasbourg Alsace,2021-22,DF,27,2697,1,0,2022-05-21,2022-05-30,10.0
251075,Zeki Çelik,LOSC Lille,2021-22,DF,25,2699,2,3,2022-05-21,2022-05-30,18.0
257448,Gelson Martins,AS Monaco,2021-22,FW,27,1920,4,3,2022-05-21,2022-05-30,15.0
258027,Renato Sanches,LOSC Lille,2021-22,MF,24,1656,2,5,2022-05-21,2022-05-30,28.0
260166,Ui-jo Hwang,FC Girondins Bordeaux,2021-22,MF,29,2525,11,2,2022-05-21,2022-05-30,7.0
261963,Marin Jakolis,Angers SCO,2021-22,FW,25,224,0,0,2022-05-21,2022-05-30,1.2
263236,Kevin Danso,RC Lens,2021-22,DF,23,2793,2,3,2022-05-21,2022-05-30,9.0
263918,Aleksandr Golovin,AS Monaco,2021-22,MF,25,1507,3,4,2022-05-21,2022-05-30,25.0
264956,Jean-Kévin Augustin,FC Nantes,2021-22,FW,24,77,0,0,2022-05-21,2022-05-30,1.5
266359,Benjamin Bourigeaud,Stade Rennais FC,2021-22,MF,28,3216,11,13,2022-05-21,2022-05-30,18.0
270051,Andrei Girotto,FC Nantes,2021-22,DF,30,3150,6,1,2022-05-21,2022-05-30,5.0
270411,Saîf-Eddine Khaoui,Clermont Foot 63,2021-22,MF,27,923,1,1,2022-05-21,2022-05-30,1.5
270541,Serhou Guirassy,Stade Rennais FC,2021-22,FW,26,998,9,0,2022-05-21,2022-05-30,10.0
271455,Mihailo Ristic,Montpellier HSC,2021-22,DF,26,1799,1,3,2022-05-21,2022-05-30,3.5
272636,Harold Moukoudi,AS Saint-Étienne,2021-22,DF,24,1657,0,0,2022-05-21,2022-05-30,4.0
273438,Danilo Barbosa,OGC Nice,2021-22,MF,26,90,0,0,2022-05-21,2022-05-30,3.5
274484,Youssouf Koné,ESTAC Troyes,2021-22,DF,26,977,0,1,2022-05-21,2022-05-30,2.0
274862,Moses Simon,FC Nantes,2021-22,FW,26,2351,6,8,2022-05-21,2022-05-30,10.0
275361,Karim Azamoum,ESTAC Troyes,2021-22,DF,32,387,0,0,2022-05-21,2022-05-30,0.4
277114,Jason Denayer,Olympique Lyon,2021-22,DF,26,1001,3,1,2022-05-21,2022-05-30,14.0
277635,Rominigue Kouamé,ESTAC Troyes,2021-22,MF,25,2976,1,2,2022-05-21,2022-05-30,5.0
281319,Alberth Elis,FC Girondins Bordeaux,2021-22,FW,26,1416,9,1,2022-05-21,2022-05-30,6.5
282041,Presnel Kimpembe,Paris Saint-Germain,2021-22,DF,26,2579,1,0,2022-05-21,2022-05-30,40.0
282199,Erik Palmer-Brown,ESTAC Troyes,2021-22,DF,25,1737,0,0,2022-05-21,2022-05-30,3.0
282250,Birger Meling,Stade Rennais FC,2021-22,DF,27,1826,0,4,2022-05-21,2022-05-30,7.0
282721,Uri Busquets,Clermont Foot 63,2021-22,MF,23,196,0,0,2022-05-21,2022-05-30,1.2
283127,Oualid El Hajjam,ESTAC Troyes,2021-22,DF,31,1075,1,1,2022-05-21,2022-05-30,1.0
283196,Kasper Dolberg,OGC Nice,2021-22,FW,24,1500,6,2,2022-05-21,2022-05-30,17.0
283994,Ludovic Ajorque,RC Strasbourg Alsace,2021-22,FW,28,2744,12,8,2022-05-21,2022-05-30,16.0
285323,Baptiste Santamaria,Stade Rennais FC,2021-22,MF,27,2516,2,1,2022-05-21,2022-05-30,14.0
286415,Pau López,Olympique Marseille,2021-22,GK,27,2610,0,1,2022-05-21,2022-05-30,12.0
287635,Assane Dioussé,AS Saint-Étienne,2021-22,MF,24,21,0,0,2022-05-21,2022-05-30,1.0
288225,Ludovic Blas,FC Nantes,2021-22,MF,24,2977,10,5,2022-05-21,2022-05-30,16.0
288241,Enock Kwateng,FC Girondins Bordeaux,2021-22,DF,25,2001,1,0,2022-05-21,2022-05-30,3.0
288415,Léo Jardim,LOSC Lille,2021-22,GK,27,1530,0,0,2022-05-21,2022-05-30,4.0
290017,Hassane Kamara,OGC Nice,2021-22,DF,28,545,0,0,2022-05-21,2022-06-15,4.0
290256,Xeka,LOSC Lille,2021-22,MF,27,1621,3,1,2022-05-21,2022-05-30,9.0
290559,Anthony Mandréa,Angers SCO,2021-22,GK,25,900,0,0,2022-05-21,2022-05-30,1.0
290593,Sada Thioub,AS Saint-Étienne,2021-22,FW,26,956,0,1,2022-05-21,2022-05-30,2.0
290746,Moreto Cassamá,Stade Reims,2021-22,MF,24,804,2,0,2022-05-21,2022-05-30,3.0
291110,Enzo Crivelli,AS Saint-Étienne,2021-22,FW,27,98,0,0,2022-05-21,2022-05-30,1.8
292808,Wout Faes,Stade Reims,2021-22,DF,24,3330,4,0,2022-05-21,2022-05-30,10.0
292818,Jonathan Bamba,LOSC Lille,2021-22,FW,26,2444,1,2,2022-05-21,2022-05-30,17.0
293944,Habib Maïga,FC Metz,2021-22,MF,26,1273,2,0,2022-05-21,2022-05-30,3.5
296356,Souleyman Doumbia,Angers SCO,2021-22,DF,25,2231,0,1,2022-05-21,2022-05-30,3.0
296802,Walter Benítez,OGC Nice,2021-22,GK,29,3330,0,0,2022-05-21,2022-05-30,14.0
297070,Hamari Traoré,Stade Rennais FC,2021-22,DF,30,2898,3,10,2022-05-21,2022-05-30,10.0
298975,Pol Lirola,Olympique Marseille,2021-22,DF,24,1769,1,2,2022-05-21,2022-05-30,8.0
306191,Jason Berthomier,Clermont Foot 63,2021-22,MF,32,1745,1,5,2022-05-21,2022-05-30,1.2
308439,Patrick Berg,RC Lens,2021-22,MF,24,297,0,0,2022-05-21,2022-05-30,4.5
313094,Jordan Lotomba,OGC Nice,2021-22,DF,23,1780,0,0,2022-05-21,2022-05-30,7.0
314912,Jérôme Hergault,FC Lorient,2021-22,DF,36,353,0,0,2022-05-21,2022-05-30,0.25
314940,Dimitri Liénard,RC Strasbourg Alsace,2021-22,MF,34,2046,2,4,2022-05-21,2022-05-30,0.7
314944,Ricardo Mangas,FC Girondins Bordeaux,2021-22,DF,24,2358,3,1,2022-05-21,2022-05-30,1.5
315110,Karl Toko Ekambi,Olympique Lyon,2021-22,FW,29,2304,12,5,2022-05-21,2022-05-30,15.0
315125,Javairô Dilrosun,FC Girondins Bordeaux,2021-22,FW,23,1735,2,6,2022-05-21,2022-05-30,6.0
315145,Azor Matusiwa,Stade Reims,2021-22,MF,24,2468,1,1,2022-05-21,2022-05-30,7.0
315283,Kaj Sierhuis,Stade Reims,2021-22,FW,24,80,0,0,2022-05-21,2022-06-08,2.3
315858,Gianluigi Donnarumma,Paris Saint-Germain,2021-22,GK,23,1530,0,0,2022-05-21,2022-05-30,50.0
316137,Moussa Doumbia,Stade Reims,2021-22,FW,27,82,0,0,2022-05-21,2022-05-30,1.2
318507,Paul Bernardoni,AS Saint-Étienne,2021-22,GK,25,2880,0,0,2022-05-21,2022-05-30,7.0
321647,Grejohn Kyei,Clermont Foot 63,2021-22,FW,26,391,0,1,2022-05-21,2022-05-30,1.2
322655,Flavius Daniliuc,OGC Nice,2021-22,DF,21,1288,0,0,2022-05-21,2022-05-30,8.0
324690,Jonathan Ikoné,LOSC Lille,2021-22,FW,24,1074,1,0,2022-05-21,2022-06-07,18.0
